year,round,round_code,best of,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score
1993,Last 16,L16,25,Alan McManus,SCO,13,13,Steve Davis,ENG,4,11
1993,Last 16,L16,25,Jimmy White,ENG,3,13,Doug Mountjoy,WAL,u,6
1993,Last 16,L16,25,Dennis Taylor,NIR,11,13,Terry Griffiths,WAL,6,11
1993,Last 16,L16,25,James Wattana,THA,7,13,Steve James,ENG,10,7
1993,Last 16,L16,25,John Parrott,ENG,2,13,Willie Thorne,ENG,15,9
1993,Quarter-Finals,QF,25,Stephen Hendry,SCO,1,13,Nigel Bond,ENG,9,7
1993,Quarter-Finals,QF,25,Alan McManus,SCO,13,13,Neal Foulds,ENG,5,11
1993,Quarter-Finals,QF,25,Jimmy White,ENG,3,13,Dennis Taylor,NIR,11,8
1993,Quarter-Finals,QF,25,James Wattana,THA,7,13,John Parrott,ENG,2,6
1993,Semi-Finals,SF,31,Stephen Hendry,SCO,1,16,Alan McManus,SCO,13,8
1993,Semi-Finals,SF,31,Jimmy White,ENG,3,16,James Wattana,THA,7,9
1993,The Final,FIN,35,Stephen Hendry,SCO,1,18,Jimmy White,ENG,3,5
1994,First Round,1R,19,Stephen Hendry,SCO,1,10,Surinder Gill,ENG,u,1
1994,First Round,1R,19,Dave Harold,ENG,u,10,David Roe,ENG,16,8
1994,First Round,1R,19,Nigel Bond,ENG,9,10,Cliff Thorburn,CAN,u,9
1994,First Round,1R,19,Terry Griffiths,WAL,8,10,Mark Davis,ENG,u,7
1994,First Round,1R,19,James Wattana,THA,5,10,Peter Ebdon,ENG,u,6
1994,First Round,1R,19,Brian Morgan,ENG,u,10,Martin Clark,ENG,12,9
1994,First Round,1R,19,Steve James,ENG,13,10,Les Dodd,ENG,u,9
1994,First Round,1R,19,Steve Davis,ENG,4,10,Dene O'Kane,NZL,u,3
1994,First Round,1R,19,Jimmy White,ENG,3,10,Billy Snaddon,SCO,u,6
1994,First Round,1R,19,Neal Foulds,ENG,14,10,Anthony Davies,WAL,u,7
1994,First Round,1R,19,Ken Doherty,IRL,11,10,Alex Higgins,NIR,u,6
1994,First Round,1R,19,Alan McManus,SCO,6,10,Fergal O'Brien,IRL,u,7
1994,First Round,1R,19,Willie Thorne,ENG,7,10,Gary Ponting,ENG,u,2
1994,First Round,1R,19,Darren Morgan,WAL,10,10,Mark King,ENG,u,5
1994,First Round,1R,19,Ronnie O'Sullivan,ENG,u,10,Dennis Taylor,NIR,15,6
1994,First Round,1R,19,John Parrott,ENG,2,10,Drew Henry,SCO,u,9
1994,Last 16,L16,25,Stephen Hendry,SCO,1,13,Dave Harold,ENG,u,2
1994,Last 16,L16,25,Nigel Bond,ENG,9,13,Terry Griffiths,WAL,8,8
1994,Last 16,L16,25,James Wattana,THA,5,13,Brian Morgan,ENG,u,9
1994,Last 16,L16,25,Steve Davis,ENG,4,13,Steve James,ENG,13,3
1994,Last 16,L16,25,Jimmy White,ENG,3,13,Neal Foulds,ENG,14,10
1994,Last 16,L16,25,Ken Doherty,IRL,11,13,Alan McManus,SCO,6,11
1994,Last 16,L16,25,Darren Morgan,WAL,10,13,Willie Thorne,ENG,7,12
1994,Last 16,L16,25,John Parrott,ENG,2,13,Ronnie O'Sullivan,ENG,u,3
1994,Quarter-Finals,QF,25,Stephen Hendry,SCO,1,13,Nigel Bond,ENG,9,8
1994,Quarter-Finals,QF,25,Steve Davis,ENG,4,13,James Wattana,THA,5,9
1994,Quarter-Finals,QF,25,Jimmy White,ENG,3,13,Ken Doherty,IRL,11,10
1994,Quarter-Finals,QF,25,Darren Morgan,WAL,10,13,John Parrott,ENG,2,11
1994,Semi-Finals,SF,31,Stephen Hendry,SCO,1,16,Steve Davis,ENG,4,9
1994,Semi-Finals,SF,31,Jimmy White,ENG,3,16,Darren Morgan,WAL,10,8
1994,The Final,FIN,35,Stephen Hendry,SCO,1,18,Jimmy White,ENG,3,17
1995,First Round,1R,19,Stephen Hendry,SCO,1,10,Stefan Mazrocis,ENG,u,3
1995,First Round,1R,19,Tony Drago,MLT,16,10,Paul Cavney,ENG,u,2
1995,First Round,1R,19,Ronnie O'Sullivan,ENG,9,10,Dave Harold,ENG,u,3
1995,First Round,1R,19,Darren Morgan,WAL,8,10,Anthony Davies,WAL,u,3
1995,First Round,1R,19,John Parrott,ENG,5,10,Brian Morgan,ENG,u,5
1995,First Round,1R,19,Joe Swail,NIR,12,10,Nigel Gilbert,ENG,u,8
