record_type,record_number,year,position_in_draw,result,result_code,tournament_stage,player,country,participation,matches_played,matches_won,matches_lost,frames_played,frames_won,frames_lost,match_win_pct,frame_win_pct
tournament,133,1983,5,Quarter-Finals,QF,3,Bill Werbeniuk,CAN,6,3,2,1,61,34,27,66.66666667,55.73770492
tournament,134,1983,6,First Round,1R,1,Dave Martin,ENG,3,1,0,1,14,4,10,0,28.57142857
tournament,135,1983,7,Last 16,L16,2,David Taylor,ENG,7,2,1,1,35,20,15,50,57.14285714
tournament,136,1983,8,First Round,1R,1,Jim Meadowcroft,ENG,3,1,0,1,12,2,10,0,16.66666667
tournament,137,1983,9,Quarter-Finals,QF,3,Eddie Charlton,AUS,7,3,2,1,59,28,31,66.66666667,47.45762712
tournament,138,1983,10,First Round,1R,1,Les Dodd,ENG,1,1,0,1,17,7,10,0,41.17647059
tournament,139,1983,11,Last 16,L16,2,John Spencer,ENG,7,2,1,1,41,21,20,50,51.2195122
tournament,140,1983,12,First Round,1R,1,Mike Hallett,ENG,2,1,0,1,17,7,10,0,41.17647059
tournament,141,1983,13,Last 16,L16,2,Dennis Taylor,NIR,7,2,1,1,43,21,22,50,48.8372093
tournament,142,1983,14,First Round,1R,1,Silvino Francisco,RSA,2,1,0,1,19,9,10,0,47.36842105
tournament,143,1983,15,Winner,W,6,Steve Davis,ENG,5,5,5,0,101,70,31,100,69.30693069
tournament,144,1983,16,First Round,1R,1,Rex Williams,ENG,3,1,0,1,14,4,10,0,28.57142857
tournament,145,1983,17,Runner-Up,TF,5,Cliff Thorburn,CAN,7,5,4,1,120,58,62,80,48.33333333
tournament,146,1983,18,First Round,1R,1,John Campbell,AUS,1,1,0,1,15,5,10,0,33.33333333
tournament,147,1983,19,Last 16,L16,2,Terry Griffiths,WAL,5,2,1,1,43,22,21,50,51.1627907
tournament,148,1983,20,First Round,1R,1,Mark Wildman,ENG,1,1,0,1,18,8,10,0,44.44444444
tournament,149,1983,21,Last 16,L16,2,Perrie Mans,RSA,7,2,1,1,29,13,16,50,44.82758621
tournament,150,1983,22,First Round,1R,1,Ian Black,SCO,1,1,0,1,13,3,10,0,23.07692308
tournament,151,1983,23,Quarter-Finals,QF,3,Kirk Stevens,CAN,5,3,2,1,53,35,18,66.66666667,66.03773585
tournament,152,1983,24,First Round,1R,1,Mick Fisher,ENG,1,1,0,1,12,2,10,0,16.66666667
tournament,153,1983,25,Last 16,L16,2,Doug Mountjoy,WAL,7,2,1,1,36,21,15,50,58.33333333
tournament,154,1983,26,First Round,1R,1,Cliff Wilson,WAL,4,1,0,1,12,2,10,0,16.66666667
tournament,155,1983,27,First Round,1R,1,Jimmy White,ENG,3,1,0,1,18,8,10,0,44.44444444
tournament,156,1983,28,Quarter-Finals,QF,3,Tony Meo,ENG,4,3,2,1,64,32,32,66.66666667,50
