match_number,year,round,round_code,tournament_stage,best_of,frames_played,player_1,player_1_nat,player_1_seed,player_1_score,player_1_pct,player_1_result,player_2,player_2_nat,player_2_seed,player_2_score,player_2_pct,player_2_result,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score,margin,match_up
255,1987,First Round,1R,1,19,14,Neal Foulds,ENG,13,10,71.42857143,W,John Virgo,ENG,u,4,28.57142857,L,Neal Foulds,ENG,13,10,John Virgo,ENG,u,4,6,John Virgo v Neal Foulds
256,1987,First Round,1R,1,19,14,Dennis Taylor,NIR,4,10,71.42857143,W,Mark Bennett,WAL,u,4,28.57142857,L,Dennis Taylor,NIR,4,10,Mark Bennett,WAL,u,4,6,Dennis Taylor v Mark Bennett
256,1987,First Round,1R,1,19,14,Mark Bennett,WAL,u,4,28.57142857,L,Dennis Taylor,NIR,4,10,71.42857143,W,Dennis Taylor,NIR,4,10,Mark Bennett,WAL,u,4,6,Dennis Taylor v Mark Bennett
257,1987,First Round,1R,1,19,15,Cliff Thorburn,CAN,3,5,33.33333333,L,Dene O'Kane,NZL,u,10,66.66666667,W,Dene O'Kane,NZL,u,10,Cliff Thorburn,CAN,3,5,5,Cliff Thorburn v Dene O'Kane
257,1987,First Round,1R,1,19,15,Dene O'Kane,NZL,u,10,66.66666667,W,Cliff Thorburn,CAN,3,5,33.33333333,L,Dene O'Kane,NZL,u,10,Cliff Thorburn,CAN,3,5,5,Cliff Thorburn v Dene O'Kane
258,1987,First Round,1R,1,19,15,David Taylor,ENG,u,5,33.33333333,L,Doug Mountjoy,WAL,14,10,66.66666667,W,Doug Mountjoy,WAL,14,10,David Taylor,ENG,u,5,5,David Taylor v Doug Mountjoy
258,1987,First Round,1R,1,19,15,Doug Mountjoy,WAL,14,10,66.66666667,W,David Taylor,ENG,u,5,33.33333333,L,Doug Mountjoy,WAL,14,10,David Taylor,ENG,u,5,5,David Taylor v Doug Mountjoy
259,1987,First Round,1R,1,19,18,John Parrott,ENG,u,10,55.55555556,W,Tony Meo,ENG,11,8,44.44444444,L,John Parrott,ENG,u,10,Tony Meo,ENG,11,8,2,John Parrott v Tony Meo
259,1987,First Round,1R,1,19,18,Tony Meo,ENG,11,8,44.44444444,L,John Parrott,ENG,u,10,55.55555556,W,John Parrott,ENG,u,10,Tony Meo,ENG,11,8,2,John Parrott v Tony Meo
260,1987,First Round,1R,1,19,18,Dean Reynolds,ENG,u,8,44.44444444,L,Jimmy White,ENG,6,10,55.55555556,W,Jimmy White,ENG,6,10,Dean Reynolds,ENG,u,8,2,Dean Reynolds v Jimmy White
260,1987,First Round,1R,1,19,18,Jimmy White,ENG,6,10,55.55555556,W,Dean Reynolds,ENG,u,8,44.44444444,L,Jimmy White,ENG,6,10,Dean Reynolds,ENG,u,8,2,Dean Reynolds v Jimmy White
261,1987,First Round,1R,1,19,16,Alex Higgins,NIR,7,10,62.5,W,Jon Wright,ENG,u,6,37.5,L,Alex Higgins,NIR,7,10,Jon Wright,ENG,u,6,4,Alex Higgins v Jon Wright
261,1987,First Round,1R,1,19,16,Jon Wright,ENG,u,6,37.5,L,Alex Higgins,NIR,7,10,62.5,W,Alex Higgins,NIR,7,10,Jon Wright,ENG,u,6,4,Alex Higgins v Jon Wright
262,1987,First Round,1R,1,19,14,Jim Wych,CAN,u,4,28.57142857,L,Terry Griffiths,WAL,10,10,71.42857143,W,Terry Griffiths,WAL,10,10,Jim Wych,CAN,u,4,6,Jim Wych v Terry Griffiths
262,1987,First Round,1R,1,19,14,Terry Griffiths,WAL,10,10,71.42857143,W,Jim Wych,CAN,u,4,28.57142857,L,Terry Griffiths,WAL,10,10,Jim Wych,CAN,u,4,6,Jim Wych v Terry Griffiths
263,1987,First Round,1R,1,19,15,Barry West,ENG,u,5,33.33333333,L,Ray Reardon,WAL,15,10,66.66666667,W,Ray Reardon,WAL,15,10,Barry West,ENG,u,5,5,Barry West v Ray Reardon
263,1987,First Round,1R,1,19,15,Ray Reardon,WAL,15,10,66.66666667,W,Barry West,ENG,u,5,33.33333333,L,Ray Reardon,WAL,15,10,Barry West,ENG,u,5,5,Barry West v Ray Reardon
264,1987,First Round,1R,1,19,17,Steve Davis,ENG,2,10,58.82352941,W,Warren King,AUS,u,7,41.17647059,L,Steve Davis,ENG,2,10,Warren King,AUS,u,7,3,Steve Davis v Warren King
264,1987,First Round,1R,1,19,17,Warren King,AUS,u,7,41.17647059,L,Steve Davis,ENG,2,10,58.82352941,W,Steve Davis,ENG,2,10,Warren King,AUS,u,7,3,Steve Davis v Warren King
265,1987,Last 16,L16,2,25,20,Joe Johnson,ENG,1,13,65,W,Murdo McLeod,SCO,u,7,35,L,Joe Johnson,ENG,1,13,Murdo McLeod,SCO,u,7,6,Joe Johnson v Murdo McLeod
265,1987,Last 16,L16,2,25,20,Murdo McLeod,SCO,u,7,35,L,Joe Johnson,ENG,1,13,65,W,Joe Johnson,ENG,1,13,Murdo McLeod,SCO,u,7,6,Joe Johnson v Murdo McLeod
266,1987,Last 16,L16,2,25,20,Stephen Hendry,SCO,u,13,65,W,Steve Longworth,ENG,u,7,35,L,Stephen Hendry,SCO,u,13,Steve Longworth,ENG,u,7,6,Stephen Hendry v Steve Longworth
266,1987,Last 16,L16,2,25,20,Steve Longworth,ENG,u,7,35,L,Stephen Hendry,SCO,u,13,65,W,Stephen Hendry,SCO,u,13,Steve Longworth,ENG,u,7,6,Stephen Hendry v Steve Longworth
267,1987,Last 16,L16,2,25,22,Mike Hallett,ENG,u,13,59.09090909,W,Silvino Francisco,RSA,12,9,40.90909091,L,Mike Hallett,ENG,u,13,Silvino Francisco,RSA,12,9,4,Mike Hallett v Silvino Francisco
267,1987,Last 16,L16,2,25,22,Silvino Francisco,RSA,12,9,40.90909091,L,Mike Hallett,ENG,u,13,59.09090909,W,Mike Hallett,ENG,u,13,Silvino Francisco,RSA,12,9,4,Mike Hallett v Silvino Francisco
268,1987,Last 16,L16,2,25,23,Dennis Taylor,NIR,4,10,43.47826087,L,Neal Foulds,ENG,13,13,56.52173913,W,Neal Foulds,ENG,13,13,Dennis Taylor,NIR,4,10,3,Dennis Taylor v Neal Foulds
