match_number,year,round,round_code,tournament_stage,best_of,frames_played,player_1,player_1_nat,player_1_seed,player_1_score,player_1_pct,player_1_result,player_2,player_2_nat,player_2_seed,player_2_score,player_2_pct,player_2_result,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score,margin,match_up
538,1996,First Round,1R,1,19,15,John Higgins,SCO,11,10,66.66666667,W,Martin Clark,ENG,u,5,33.33333333,L,John Higgins,SCO,11,10,Martin Clark,ENG,u,5,5,John Higgins v Martin Clark
538,1996,First Round,1R,1,19,15,Martin Clark,ENG,u,5,33.33333333,L,John Higgins,SCO,11,10,66.66666667,W,John Higgins,SCO,11,10,Martin Clark,ENG,u,5,5,John Higgins v Martin Clark
539,1996,First Round,1R,1,19,15,Alan McManus,SCO,6,10,66.66666667,W,Mick Price,ENG,u,5,33.33333333,L,Alan McManus,SCO,6,10,Mick Price,ENG,u,5,5,Alan McManus v Mick Price
539,1996,First Round,1R,1,19,15,Mick Price,ENG,u,5,33.33333333,L,Alan McManus,SCO,6,10,66.66666667,W,Alan McManus,SCO,6,10,Mick Price,ENG,u,5,5,Alan McManus v Mick Price
540,1996,First Round,1R,1,19,19,Euan Henderson,SCO,u,9,47.36842105,L,Jimmy White,ENG,7,10,52.63157895,W,Jimmy White,ENG,7,10,Euan Henderson,SCO,u,9,1,Euan Henderson v Jimmy White
540,1996,First Round,1R,1,19,19,Jimmy White,ENG,7,10,52.63157895,W,Euan Henderson,SCO,u,9,47.36842105,L,Jimmy White,ENG,7,10,Euan Henderson,SCO,u,9,1,Euan Henderson v Jimmy White
541,1996,First Round,1R,1,19,11,Dene O'Kane,NZL,u,1,9.090909091,L,Peter Ebdon,ENG,10,10,90.90909091,W,Peter Ebdon,ENG,10,10,Dene O'Kane,NZL,u,1,9,Dene O'Kane v Peter Ebdon
541,1996,First Round,1R,1,19,11,Peter Ebdon,ENG,10,10,90.90909091,W,Dene O'Kane,NZL,u,1,9.090909091,L,Peter Ebdon,ENG,10,10,Dene O'Kane,NZL,u,1,9,Dene O'Kane v Peter Ebdon
542,1996,First Round,1R,1,19,19,Jamie Burnett,SCO,u,9,47.36842105,L,Terry Griffiths,WAL,15,10,52.63157895,W,Terry Griffiths,WAL,15,10,Jamie Burnett,SCO,u,9,1,Jamie Burnett v Terry Griffiths
542,1996,First Round,1R,1,19,19,Terry Griffiths,WAL,15,10,52.63157895,W,Jamie Burnett,SCO,u,9,47.36842105,L,Terry Griffiths,WAL,15,10,Jamie Burnett,SCO,u,9,1,Jamie Burnett v Terry Griffiths
543,1996,First Round,1R,1,19,18,Steve Davis,ENG,2,10,55.55555556,W,Willie Thorne,ENG,u,8,44.44444444,L,Steve Davis,ENG,2,10,Willie Thorne,ENG,u,8,2,Steve Davis v Willie Thorne
543,1996,First Round,1R,1,19,18,Willie Thorne,ENG,u,8,44.44444444,L,Steve Davis,ENG,2,10,55.55555556,W,Steve Davis,ENG,2,10,Willie Thorne,ENG,u,8,2,Steve Davis v Willie Thorne
544,1996,Last 16,L16,2,25,20,Gary Wilkinson,ENG,u,7,35,L,Stephen Hendry,SCO,1,13,65,W,Stephen Hendry,SCO,1,13,Gary Wilkinson,ENG,u,7,6,Gary Wilkinson v Stephen Hendry
544,1996,Last 16,L16,2,25,20,Stephen Hendry,SCO,1,13,65,W,Gary Wilkinson,ENG,u,7,35,L,Stephen Hendry,SCO,1,13,Gary Wilkinson,ENG,u,7,6,Gary Wilkinson v Stephen Hendry
545,1996,Last 16,L16,2,25,18,Darren Morgan,WAL,8,13,72.22222222,W,Ken Doherty,IRL,9,5,27.77777778,L,Darren Morgan,WAL,8,13,Ken Doherty,IRL,9,5,8,Darren Morgan v Ken Doherty
545,1996,Last 16,L16,2,25,18,Ken Doherty,IRL,9,5,27.77777778,L,Darren Morgan,WAL,8,13,72.22222222,W,Darren Morgan,WAL,8,13,Ken Doherty,IRL,9,5,8,Darren Morgan v Ken Doherty
546,1996,Last 16,L16,2,25,17,James Wattana,THA,5,4,23.52941176,L,Nigel Bond,ENG,12,13,76.47058824,W,Nigel Bond,ENG,12,13,James Wattana,THA,5,4,9,James Wattana v Nigel Bond
546,1996,Last 16,L16,2,25,17,Nigel Bond,ENG,12,13,76.47058824,W,James Wattana,THA,5,4,23.52941176,L,Nigel Bond,ENG,12,13,James Wattana,THA,5,4,9,James Wattana v Nigel Bond
547,1996,Last 16,L16,2,25,19,Dave Harold,ENG,13,13,68.42105263,W,Rod Lawler,ENG,u,6,31.57894737,L,Dave Harold,ENG,13,13,Rod Lawler,ENG,u,6,7,Dave Harold v Rod Lawler
547,1996,Last 16,L16,2,25,19,Rod Lawler,ENG,u,6,31.57894737,L,Dave Harold,ENG,13,13,68.42105263,W,Dave Harold,ENG,13,13,Rod Lawler,ENG,u,6,7,Dave Harold v Rod Lawler
548,1996,Last 16,L16,2,25,17,Ronnie O'Sullivan,ENG,3,13,76.47058824,W,Tony Drago,MLT,14,4,23.52941176,L,Ronnie O'Sullivan,ENG,3,13,Tony Drago,MLT,14,4,9,Ronnie O'Sullivan v Tony Drago
548,1996,Last 16,L16,2,25,17,Tony Drago,MLT,14,4,23.52941176,L,Ronnie O'Sullivan,ENG,3,13,76.47058824,W,Ronnie O'Sullivan,ENG,3,13,Tony Drago,MLT,14,4,9,Ronnie O'Sullivan v Tony Drago
549,1996,Last 16,L16,2,25,18,Alan McManus,SCO,6,5,27.77777778,L,John Higgins,SCO,11,13,72.22222222,W,John Higgins,SCO,11,13,Alan McManus,SCO,6,5,8,Alan McManus v John Higgins
549,1996,Last 16,L16,2,25,18,John Higgins,SCO,11,13,72.22222222,W,Alan McManus,SCO,6,5,27.77777778,L,John Higgins,SCO,11,13,Alan McManus,SCO,6,5,8,Alan McManus v John Higgins
550,1996,Last 16,L16,2,25,25,Jimmy White,ENG,7,12,48,L,Peter Ebdon,ENG,10,13,52,W,Peter Ebdon,ENG,10,13,Jimmy White,ENG,7,12,1,Jimmy White v Peter Ebdon
550,1996,Last 16,L16,2,25,25,Peter Ebdon,ENG,10,13,52,W,Jimmy White,ENG,7,12,48,L,Peter Ebdon,ENG,10,13,Jimmy White,ENG,7,12,1,Jimmy White v Peter Ebdon
551,1996,Last 16,L16,2,25,21,Steve Davis,ENG,2,13,61.9047619,W,Terry Griffiths,WAL,15,8,38.0952381,L,Steve Davis,ENG,2,13,Terry Griffiths,WAL,15,8,5,Steve Davis v Terry Griffiths
551,1996,Last 16,L16,2,25,21,Terry Griffiths,WAL,15,8,38.0952381,L,Steve Davis,ENG,2,13,61.9047619,W,Steve Davis,ENG,2,13,Terry Griffiths,WAL,15,8,5,Steve Davis v Terry Griffiths
552,1996,Quarter-Finals,QF,3,25,18,Darren Morgan,WAL,8,5,27.77777778,L,Stephen Hendry,SCO,1,13,72.22222222,W,Stephen Hendry,SCO,1,13,Darren Morgan,WAL,8,5,8,Darren Morgan v Stephen Hendry
552,1996,Quarter-Finals,QF,3,25,18,Stephen Hendry,SCO,1,13,72.22222222,W,Darren Morgan,WAL,8,5,27.77777778,L,Stephen Hendry,SCO,1,13,Darren Morgan,WAL,8,5,8,Darren Morgan v Stephen Hendry
553,1996,Quarter-Finals,QF,3,25,20,Dave Harold,ENG,13,7,35,L,Nigel Bond,ENG,12,13,65,W,Nigel Bond,ENG,12,13,Dave Harold,ENG,13,7,6,Dave Harold v Nigel Bond
553,1996,Quarter-Finals,QF,3,25,20,Nigel Bond,ENG,12,13,65,W,Dave Harold,ENG,13,7,35,L,Nigel Bond,ENG,12,13,Dave Harold,ENG,13,7,6,Dave Harold v Nigel Bond
554,1996,Quarter-Finals,QF,3,25,25,John Higgins,SCO,11,12,48,L,Ronnie O'Sullivan,ENG,3,13,52,W,Ronnie O'Sullivan,ENG,3,13,John Higgins,SCO,11,12,1,John Higgins v Ronnie O'Sullivan
554,1996,Quarter-Finals,QF,3,25,25,Ronnie O'Sullivan,ENG,3,13,52,W,John Higgins,SCO,11,12,48,L,Ronnie O'Sullivan,ENG,3,13,John Higgins,SCO,11,12,1,John Higgins v Ronnie O'Sullivan
555,1996,Quarter-Finals,QF,3,25,23,Peter Ebdon,ENG,10,13,56.52173913,W,Steve Davis,ENG,2,10,43.47826087,L,Peter Ebdon,ENG,10,13,Steve Davis,ENG,2,10,3,Peter Ebdon v Steve Davis
555,1996,Quarter-Finals,QF,3,25,23,Steve Davis,ENG,2,10,43.47826087,L,Peter Ebdon,ENG,10,13,56.52173913,W,Peter Ebdon,ENG,10,13,Steve Davis,ENG,2,10,3,Peter Ebdon v Steve Davis
556,1996,Semi-Finals,SF,4,31,23,Nigel Bond,ENG,12,7,30.43478261,L,Stephen Hendry,SCO,1,16,69.56521739,W,Stephen Hendry,SCO,1,16,Nigel Bond,ENG,12,7,9,Nigel Bond v Stephen Hendry
556,1996,Semi-Finals,SF,4,31,23,Stephen Hendry,SCO,1,16,69.56521739,W,Nigel Bond,ENG,12,7,30.43478261,L,Stephen Hendry,SCO,1,16,Nigel Bond,ENG,12,7,9,Nigel Bond v Stephen Hendry
557,1996,Semi-Finals,SF,4,31,30,Peter Ebdon,ENG,10,16,53.33333333,W,Ronnie O'Sullivan,ENG,3,14,46.66666667,L,Peter Ebdon,ENG,10,16,Ronnie O'Sullivan,ENG,3,14,2,Peter Ebdon v Ronnie O'Sullivan
557,1996,Semi-Finals,SF,4,31,30,Ronnie O'Sullivan,ENG,3,14,46.66666667,L,Peter Ebdon,ENG,10,16,53.33333333,W,Peter Ebdon,ENG,10,16,Ronnie O'Sullivan,ENG,3,14,2,Peter Ebdon v Ronnie O'Sullivan
558,1996,The Final,FIN,5,35,30,Peter Ebdon,ENG,10,12,40,L,Stephen Hendry,SCO,1,18,60,W,Stephen Hendry,SCO,1,18,Peter Ebdon,ENG,10,12,6,Peter Ebdon v Stephen Hendry
558,1996,The Final,FIN,5,35,30,Stephen Hendry,SCO,1,18,60,W,Peter Ebdon,ENG,10,12,40,L,Stephen Hendry,SCO,1,18,Peter Ebdon,ENG,10,12,6,Peter Ebdon v Stephen Hendry
559,1997,First Round,1R,1,19,16,Andy Hicks,ENG,u,6,37.5,L,Stephen Hendry,SCO,1,10,62.5,W,Stephen Hendry,SCO,1,10,Andy Hicks,ENG,u,6,4,Andy Hicks v Stephen Hendry
559,1997,First Round,1R,1,19,16,Stephen Hendry,SCO,1,10,62.5,W,Andy Hicks,ENG,u,6,37.5,L,Stephen Hendry,SCO,1,10,Andy Hicks,ENG,u,6,4,Andy Hicks v Stephen Hendry
560,1997,First Round,1R,1,19,19,Mark Williams,WAL,16,10,52.63157895,W,Terry Griffiths,WAL,u,9,47.36842105,L,Mark Williams,WAL,16,10,Terry Griffiths,WAL,u,9,1,Mark Williams v Terry Griffiths
560,1997,First Round,1R,1,19,19,Terry Griffiths,WAL,u,9,47.36842105,L,Mark Williams,WAL,16,10,52.63157895,W,Mark Williams,WAL,16,10,Terry Griffiths,WAL,u,9,1,Mark Williams v Terry Griffiths
561,1997,First Round,1R,1,19,15,Darren Morgan,WAL,9,10,66.66666667,W,Gary Wilkinson,ENG,u,5,33.33333333,L,Darren Morgan,WAL,9,10,Gary Wilkinson,ENG,u,5,5,Darren Morgan v Gary Wilkinson
561,1997,First Round,1R,1,19,15,Gary Wilkinson,ENG,u,5,33.33333333,L,Darren Morgan,WAL,9,10,66.66666667,W,Darren Morgan,WAL,9,10,Gary Wilkinson,ENG,u,5,5,Darren Morgan v Gary Wilkinson
562,1997,First Round,1R,1,19,16,Mick Price,ENG,u,6,37.5,L,Ronnie O'Sullivan,ENG,8,10,62.5,W,Ronnie O'Sullivan,ENG,8,10,Mick Price,ENG,u,6,4,Mick Price v Ronnie O'Sullivan
562,1997,First Round,1R,1,19,16,Ronnie O'Sullivan,ENG,8,10,62.5,W,Mick Price,ENG,u,6,37.5,L,Ronnie O'Sullivan,ENG,8,10,Mick Price,ENG,u,6,4,Mick Price v Ronnie O'Sullivan
563,1997,First Round,1R,1,19,18,Nigel Bond,ENG,5,8,44.44444444,L,Stephen Lee,ENG,u,10,55.55555556,W,Stephen Lee,ENG,u,10,Nigel Bond,ENG,5,8,2,Nigel Bond v Stephen Lee
563,1997,First Round,1R,1,19,18,Stephen Lee,ENG,u,10,55.55555556,W,Nigel Bond,ENG,5,8,44.44444444,L,Stephen Lee,ENG,u,10,Nigel Bond,ENG,5,8,2,Nigel Bond v Stephen Lee
564,1997,First Round,1R,1,19,19,Graeme Dott,SCO,u,9,47.36842105,L,James Wattana,THA,12,10,52.63157895,W,James Wattana,THA,12,10,Graeme Dott,SCO,u,9,1,Graeme Dott v James Wattana
564,1997,First Round,1R,1,19,19,James Wattana,THA,12,10,52.63157895,W,Graeme Dott,SCO,u,9,47.36842105,L,James Wattana,THA,12,10,Graeme Dott,SCO,u,9,1,Graeme Dott v James Wattana
565,1997,First Round,1R,1,19,19,Anthony Hamilton,ENG,u,10,52.63157895,W,Jimmy White,ENG,13,9,47.36842105,L,Anthony Hamilton,ENG,u,10,Jimmy White,ENG,13,9,1,Anthony Hamilton v Jimmy White
565,1997,First Round,1R,1,19,19,Jimmy White,ENG,13,9,47.36842105,L,Anthony Hamilton,ENG,u,10,52.63157895,W,Anthony Hamilton,ENG,u,10,Jimmy White,ENG,13,9,1,Anthony Hamilton v Jimmy White
566,1997,First Round,1R,1,19,19,Bradley Jones,ENG,u,9,47.36842105,L,John Parrott,ENG,4,10,52.63157895,W,John Parrott,ENG,4,10,Bradley Jones,ENG,u,9,1,Bradley Jones v John Parrott
566,1997,First Round,1R,1,19,19,John Parrott,ENG,4,10,52.63157895,W,Bradley Jones,ENG,u,9,47.36842105,L,John Parrott,ENG,4,10,Bradley Jones,ENG,u,9,1,Bradley Jones v John Parrott
567,1997,First Round,1R,1,19,13,Peter Ebdon,ENG,3,3,23.07692308,L,Stefan Mazrocis,ENG,u,10,76.92307692,W,Stefan Mazrocis,ENG,u,10,Peter Ebdon,ENG,3,3,7,Peter Ebdon v Stefan Mazrocis
567,1997,First Round,1R,1,19,13,Stefan Mazrocis,ENG,u,10,76.92307692,W,Peter Ebdon,ENG,3,3,23.07692308,L,Stefan Mazrocis,ENG,u,10,Peter Ebdon,ENG,3,3,7,Peter Ebdon v Stefan Mazrocis
568,1997,First Round,1R,1,19,18,Alain Robidoux,CAN,14,10,55.55555556,W,Brian Morgan,ENG,u,8,44.44444444,L,Alain Robidoux,CAN,14,10,Brian Morgan,ENG,u,8,2,Alain Robidoux v Brian Morgan
568,1997,First Round,1R,1,19,18,Brian Morgan,ENG,u,8,44.44444444,L,Alain Robidoux,CAN,14,10,55.55555556,W,Alain Robidoux,CAN,14,10,Brian Morgan,ENG,u,8,2,Alain Robidoux v Brian Morgan
569,1997,First Round,1R,1,19,17,Dave Harold,ENG,11,7,41.17647059,L,Lee Walker,WAL,u,10,58.82352941,W,Lee Walker,WAL,u,10,Dave Harold,ENG,11,7,3,Dave Harold v Lee Walker
569,1997,First Round,1R,1,19,17,Lee Walker,WAL,u,10,58.82352941,W,Dave Harold,ENG,11,7,41.17647059,L,Lee Walker,WAL,u,10,Dave Harold,ENG,11,7,3,Dave Harold v Lee Walker
570,1997,First Round,1R,1,19,19,Alan McManus,SCO,6,10,52.63157895,W,Billy Snaddon,SCO,u,9,47.36842105,L,Alan McManus,SCO,6,10,Billy Snaddon,SCO,u,9,1,Alan McManus v Billy Snaddon
570,1997,First Round,1R,1,19,19,Billy Snaddon,SCO,u,9,47.36842105,L,Alan McManus,SCO,6,10,52.63157895,W,Alan McManus,SCO,6,10,Billy Snaddon,SCO,u,9,1,Alan McManus v Billy Snaddon
571,1997,First Round,1R,1,19,18,Ken Doherty,IRL,7,10,55.55555556,W,Mark Davis,ENG,u,8,44.44444444,L,Ken Doherty,IRL,7,10,Mark Davis,ENG,u,8,2,Ken Doherty v Mark Davis
571,1997,First Round,1R,1,19,18,Mark Davis,ENG,u,8,44.44444444,L,Ken Doherty,IRL,7,10,55.55555556,W,Ken Doherty,IRL,7,10,Mark Davis,ENG,u,8,2,Ken Doherty v Mark Davis
572,1997,First Round,1R,1,19,12,David McLellan,SCO,u,2,16.66666667,L,Steve Davis,ENG,10,10,83.33333333,W,Steve Davis,ENG,10,10,David McLellan,SCO,u,2,8,David McLellan v Steve Davis
572,1997,First Round,1R,1,19,12,Steve Davis,ENG,10,10,83.33333333,W,David McLellan,SCO,u,2,16.66666667,L,Steve Davis,ENG,10,10,David McLellan,SCO,u,2,8,David McLellan v Steve Davis
573,1997,First Round,1R,1,19,19,Dominic Dale,WAL,u,10,52.63157895,W,Tony Drago,MLT,15,9,47.36842105,L,Dominic Dale,WAL,u,10,Tony Drago,MLT,15,9,1,Dominic Dale v Tony Drago
573,1997,First Round,1R,1,19,19,Tony Drago,MLT,15,9,47.36842105,L,Dominic Dale,WAL,u,10,52.63157895,W,Dominic Dale,WAL,u,10,Tony Drago,MLT,15,9,1,Dominic Dale v Tony Drago
574,1997,First Round,1R,1,19,16,Graham Horne,SCO,u,6,37.5,L,John Higgins,SCO,2,10,62.5,W,John Higgins,SCO,2,10,Graham Horne,SCO,u,6,4,Graham Horne v John Higgins
574,1997,First Round,1R,1,19,16,John Higgins,SCO,2,10,62.5,W,Graham Horne,SCO,u,6,37.5,L,John Higgins,SCO,2,10,Graham Horne,SCO,u,6,4,Graham Horne v John Higgins
575,1997,Last 16,L16,2,25,21,Mark Williams,WAL,16,8,38.0952381,L,Stephen Hendry,SCO,1,13,61.9047619,W,Stephen Hendry,SCO,1,13,Mark Williams,WAL,16,8,5,Mark Williams v Stephen Hendry
575,1997,Last 16,L16,2,25,21,Stephen Hendry,SCO,1,13,61.9047619,W,Mark Williams,WAL,16,8,38.0952381,L,Stephen Hendry,SCO,1,13,Mark Williams,WAL,16,8,5,Mark Williams v Stephen Hendry
576,1997,Last 16,L16,2,25,25,Darren Morgan,WAL,9,13,52,W,Ronnie O'Sullivan,ENG,8,12,48,L,Darren Morgan,WAL,9,13,Ronnie O'Sullivan,ENG,8,12,1,Darren Morgan v Ronnie O'Sullivan
576,1997,Last 16,L16,2,25,25,Ronnie O'Sullivan,ENG,8,12,48,L,Darren Morgan,WAL,9,13,52,W,Darren Morgan,WAL,9,13,Ronnie O'Sullivan,ENG,8,12,1,Darren Morgan v Ronnie O'Sullivan
577,1997,Last 16,L16,2,25,20,James Wattana,THA,12,13,65,W,Stephen Lee,ENG,u,7,35,L,James Wattana,THA,12,13,Stephen Lee,ENG,u,7,6,James Wattana v Stephen Lee
577,1997,Last 16,L16,2,25,20,Stephen Lee,ENG,u,7,35,L,James Wattana,THA,12,13,65,W,James Wattana,THA,12,13,Stephen Lee,ENG,u,7,6,James Wattana v Stephen Lee
578,1997,Last 16,L16,2,25,24,Anthony Hamilton,ENG,u,11,45.83333333,L,John Parrott,ENG,4,13,54.16666667,W,John Parrott,ENG,4,13,Anthony Hamilton,ENG,u,11,2,Anthony Hamilton v John Parrott
578,1997,Last 16,L16,2,25,24,John Parrott,ENG,4,13,54.16666667,W,Anthony Hamilton,ENG,u,11,45.83333333,L,John Parrott,ENG,4,13,Anthony Hamilton,ENG,u,11,2,Anthony Hamilton v John Parrott
579,1997,Last 16,L16,2,25,22,Alain Robidoux,CAN,14,13,59.09090909,W,Stefan Mazrocis,ENG,u,9,40.90909091,L,Alain Robidoux,CAN,14,13,Stefan Mazrocis,ENG,u,9,4,Alain Robidoux v Stefan Mazrocis
579,1997,Last 16,L16,2,25,22,Stefan Mazrocis,ENG,u,9,40.90909091,L,Alain Robidoux,CAN,14,13,59.09090909,W,Alain Robidoux,CAN,14,13,Stefan Mazrocis,ENG,u,9,4,Alain Robidoux v Stefan Mazrocis
580,1997,Last 16,L16,2,25,23,Alan McManus,SCO,6,10,43.47826087,L,Lee Walker,WAL,u,13,56.52173913,W,Lee Walker,WAL,u,13,Alan McManus,SCO,6,10,3,Alan McManus v Lee Walker
580,1997,Last 16,L16,2,25,23,Lee Walker,WAL,u,13,56.52173913,W,Alan McManus,SCO,6,10,43.47826087,L,Lee Walker,WAL,u,13,Alan McManus,SCO,6,10,3,Alan McManus v Lee Walker
581,1997,Last 16,L16,2,25,16,Ken Doherty,IRL,7,13,81.25,W,Steve Davis,ENG,10,3,18.75,L,Ken Doherty,IRL,7,13,Steve Davis,ENG,10,3,10,Ken Doherty v Steve Davis
581,1997,Last 16,L16,2,25,16,Steve Davis,ENG,10,3,18.75,L,Ken Doherty,IRL,7,13,81.25,W,Ken Doherty,IRL,7,13,Steve Davis,ENG,10,3,10,Ken Doherty v Steve Davis
582,1997,Last 16,L16,2,25,18,Dominic Dale,WAL,u,5,27.77777778,L,John Higgins,SCO,2,13,72.22222222,W,John Higgins,SCO,2,13,Dominic Dale,WAL,u,5,8,Dominic Dale v John Higgins
582,1997,Last 16,L16,2,25,18,John Higgins,SCO,2,13,72.22222222,W,Dominic Dale,WAL,u,5,27.77777778,L,John Higgins,SCO,2,13,Dominic Dale,WAL,u,5,8,Dominic Dale v John Higgins
583,1997,Quarter-Finals,QF,3,25,23,Darren Morgan,WAL,9,10,43.47826087,L,Stephen Hendry,SCO,1,13,56.52173913,W,Stephen Hendry,SCO,1,13,Darren Morgan,WAL,9,10,3,Darren Morgan v Stephen Hendry
583,1997,Quarter-Finals,QF,3,25,23,Stephen Hendry,SCO,1,13,56.52173913,W,Darren Morgan,WAL,9,10,43.47826087,L,Stephen Hendry,SCO,1,13,Darren Morgan,WAL,9,10,3,Darren Morgan v Stephen Hendry
584,1997,Quarter-Finals,QF,3,25,23,James Wattana,THA,12,13,56.52173913,W,John Parrott,ENG,4,10,43.47826087,L,James Wattana,THA,12,13,John Parrott,ENG,4,10,3,James Wattana v John Parrott
584,1997,Quarter-Finals,QF,3,25,23,John Parrott,ENG,4,10,43.47826087,L,James Wattana,THA,12,13,56.52173913,W,James Wattana,THA,12,13,John Parrott,ENG,4,10,3,James Wattana v John Parrott
585,1997,Quarter-Finals,QF,3,25,21,Alain Robidoux,CAN,14,13,61.9047619,W,Lee Walker,WAL,u,8,38.0952381,L,Alain Robidoux,CAN,14,13,Lee Walker,WAL,u,8,5,Alain Robidoux v Lee Walker
585,1997,Quarter-Finals,QF,3,25,21,Lee Walker,WAL,u,8,38.0952381,L,Alain Robidoux,CAN,14,13,61.9047619,W,Alain Robidoux,CAN,14,13,Lee Walker,WAL,u,8,5,Alain Robidoux v Lee Walker
586,1997,Quarter-Finals,QF,3,25,22,John Higgins,SCO,2,9,40.90909091,L,Ken Doherty,IRL,7,13,59.09090909,W,Ken Doherty,IRL,7,13,John Higgins,SCO,2,9,4,John Higgins v Ken Doherty
586,1997,Quarter-Finals,QF,3,25,22,Ken Doherty,IRL,7,13,59.09090909,W,John Higgins,SCO,2,9,40.90909091,L,Ken Doherty,IRL,7,13,John Higgins,SCO,2,9,4,John Higgins v Ken Doherty
587,1997,Semi-Finals,SF,4,33,30,James Wattana,THA,12,13,43.33333333,L,Stephen Hendry,SCO,1,17,56.66666667,W,Stephen Hendry,SCO,1,17,James Wattana,THA,12,13,4,James Wattana v Stephen Hendry
587,1997,Semi-Finals,SF,4,33,30,Stephen Hendry,SCO,1,17,56.66666667,W,James Wattana,THA,12,13,43.33333333,L,Stephen Hendry,SCO,1,17,James Wattana,THA,12,13,4,James Wattana v Stephen Hendry
588,1997,Semi-Finals,SF,4,33,24,Alain Robidoux,CAN,14,7,29.16666667,L,Ken Doherty,IRL,7,17,70.83333333,W,Ken Doherty,IRL,7,17,Alain Robidoux,CAN,14,7,10,Alain Robidoux v Ken Doherty
588,1997,Semi-Finals,SF,4,33,24,Ken Doherty,IRL,7,17,70.83333333,W,Alain Robidoux,CAN,14,7,29.16666667,L,Ken Doherty,IRL,7,17,Alain Robidoux,CAN,14,7,10,Alain Robidoux v Ken Doherty
589,1997,The Final,FIN,5,35,30,Ken Doherty,IRL,7,18,60,W,Stephen Hendry,SCO,1,12,40,L,Ken Doherty,IRL,7,18,Stephen Hendry,SCO,1,12,6,Ken Doherty v Stephen Hendry
589,1997,The Final,FIN,5,35,30,Stephen Hendry,SCO,1,12,40,L,Ken Doherty,IRL,7,18,60,W,Ken Doherty,IRL,7,18,Stephen Hendry,SCO,1,12,6,Ken Doherty v Stephen Hendry
590,1998,First Round,1R,1,19,18,Ken Doherty,IRL,1,10,55.55555556,W,Lee Walker,WAL,u,8,44.44444444,L,Ken Doherty,IRL,1,10,Lee Walker,WAL,u,8,2,Ken Doherty v Lee Walker
590,1998,First Round,1R,1,19,18,Lee Walker,WAL,u,8,44.44444444,L,Ken Doherty,IRL,1,10,55.55555556,W,Ken Doherty,IRL,1,10,Lee Walker,WAL,u,8,2,Ken Doherty v Lee Walker
591,1998,First Round,1R,1,19,14,Andy Hicks,ENG,u,4,28.57142857,L,Stephen Lee,ENG,16,10,71.42857143,W,Stephen Lee,ENG,16,10,Andy Hicks,ENG,u,4,6,Andy Hicks v Stephen Lee
591,1998,First Round,1R,1,19,14,Stephen Lee,ENG,16,10,71.42857143,W,Andy Hicks,ENG,u,4,28.57142857,L,Stephen Lee,ENG,16,10,Andy Hicks,ENG,u,4,6,Andy Hicks v Stephen Lee
592,1998,First Round,1R,1,19,18,Alain Robidoux,CAN,9,8,44.44444444,L,Matthew Stevens,WAL,u,10,55.55555556,W,Matthew Stevens,WAL,u,10,Alain Robidoux,CAN,9,8,2,Alain Robidoux v Matthew Stevens
592,1998,First Round,1R,1,19,18,Matthew Stevens,WAL,u,10,55.55555556,W,Alain Robidoux,CAN,9,8,44.44444444,L,Matthew Stevens,WAL,u,10,Alain Robidoux,CAN,9,8,2,Alain Robidoux v Matthew Stevens
593,1998,First Round,1R,1,19,15,Mark King,ENG,u,10,66.66666667,W,Nigel Bond,ENG,8,5,33.33333333,L,Mark King,ENG,u,10,Nigel Bond,ENG,8,5,5,Mark King v Nigel Bond
593,1998,First Round,1R,1,19,15,Nigel Bond,ENG,8,5,33.33333333,L,Mark King,ENG,u,10,66.66666667,W,Mark King,ENG,u,10,Nigel Bond,ENG,8,5,5,Mark King v Nigel Bond
594,1998,First Round,1R,1,19,13,Peter Ebdon,ENG,5,10,76.92307692,W,Terry Murphy,NIR,u,3,23.07692308,L,Peter Ebdon,ENG,5,10,Terry Murphy,NIR,u,3,7,Peter Ebdon v Terry Murphy
594,1998,First Round,1R,1,19,13,Terry Murphy,NIR,u,3,23.07692308,L,Peter Ebdon,ENG,5,10,76.92307692,W,Peter Ebdon,ENG,5,10,Terry Murphy,NIR,u,3,7,Peter Ebdon v Terry Murphy
595,1998,First Round,1R,1,19,19,Fergal O'Brien,IRL,u,10,52.63157895,W,James Wattana,THA,12,9,47.36842105,L,Fergal O'Brien,IRL,u,10,James Wattana,THA,12,9,1,Fergal O'Brien v James Wattana
595,1998,First Round,1R,1,19,19,James Wattana,THA,12,9,47.36842105,L,Fergal O'Brien,IRL,u,10,52.63157895,W,Fergal O'Brien,IRL,u,10,James Wattana,THA,12,9,1,Fergal O'Brien v James Wattana
596,1998,First Round,1R,1,19,16,Simon Bedford,ENG,u,6,37.5,L,Steve Davis,ENG,13,10,62.5,W,Steve Davis,ENG,13,10,Simon Bedford,ENG,u,6,4,Simon Bedford v Steve Davis
596,1998,First Round,1R,1,19,16,Steve Davis,ENG,13,10,62.5,W,Simon Bedford,ENG,u,6,37.5,L,Steve Davis,ENG,13,10,Simon Bedford,ENG,u,6,4,Simon Bedford v Steve Davis
597,1998,First Round,1R,1,19,19,Mark Williams,WAL,4,10,52.63157895,W,Quinten Hann,AUS,u,9,47.36842105,L,Mark Williams,WAL,4,10,Quinten Hann,AUS,u,9,1,Mark Williams v Quinten Hann
